"group1","variable","variable_level","context","stat_name","stat"
"Placebo","AGE",,"descriptive","N",86
"Placebo","AGE",,"descriptive","mean",75.2093023255814
"Placebo","AGE",,"descriptive","sd",8.59016712714193
"Placebo","AGE",,"descriptive","median",76
"Placebo","AGE",,"descriptive","min",52
"Placebo","AGE",,"descriptive","max",89
"Placebo","WEIGHTBL",,"descriptive","N",86
"Placebo","WEIGHTBL",,"descriptive","mean",62.7574418604651
"Placebo","WEIGHTBL",,"descriptive","sd",12.7703880070075
"Placebo","WEIGHTBL",,"descriptive","median",60.56
"Placebo","WEIGHTBL",,"descriptive","min",34.02
"Placebo","WEIGHTBL",,"descriptive","max",86.18
"Placebo","HEIGHTBL",,"descriptive","N",86
"Placebo","HEIGHTBL",,"descriptive","mean",162.571395348837
"Placebo","HEIGHTBL",,"descriptive","sd",11.5231419492705
"Placebo","HEIGHTBL",,"descriptive","median",162.56
"Placebo","HEIGHTBL",,"descriptive","min",137.16
"Placebo","HEIGHTBL",,"descriptive","max",185.42
"Placebo","BMIBL",,"descriptive","N",86
"Placebo","BMIBL",,"descriptive","mean",23.6383720930233
"Placebo","BMIBL",,"descriptive","sd",3.67347146618278
"Placebo","BMIBL",,"descriptive","median",23.4
"Placebo","BMIBL",,"descriptive","min",15.1
"Placebo","BMIBL",,"descriptive","max",33.3
"Placebo","SEX","F","frequency","n",53
"Placebo","SEX","F","frequency","pct",61.6279069767442
"Zanomaline Low Dose (54 mg)","SEX","F","frequency","n",0
"Zanomaline Low Dose (54 mg)","SEX","F","frequency","pct",
"Zanomaline High Dose (81 mg)","SEX","F","frequency","n",0
"Zanomaline High Dose (81 mg)","SEX","F","frequency","pct",
"Placebo","SEX","M","frequency","n",33
"Placebo","SEX","M","frequency","pct",38.3720930232558
"Zanomaline Low Dose (54 mg)","SEX","M","frequency","n",0
"Zanomaline Low Dose (54 mg)","SEX","M","frequency","pct",
"Zanomaline High Dose (81 mg)","SEX","M","frequency","n",0
"Zanomaline High Dose (81 mg)","SEX","M","frequency","pct",
"Placebo","AGEGR1","<65","frequency","n",14
"Placebo","AGEGR1","<65","frequency","pct",16.2790697674419
"Zanomaline Low Dose (54 mg)","AGEGR1","<65","frequency","n",0
"Zanomaline Low Dose (54 mg)","AGEGR1","<65","frequency","pct",
"Zanomaline High Dose (81 mg)","AGEGR1","<65","frequency","n",0
"Zanomaline High Dose (81 mg)","AGEGR1","<65","frequency","pct",
"Placebo","AGEGR1",">80","frequency","n",30
"Placebo","AGEGR1",">80","frequency","pct",34.8837209302326
"Zanomaline Low Dose (54 mg)","AGEGR1",">80","frequency","n",0
"Zanomaline Low Dose (54 mg)","AGEGR1",">80","frequency","pct",
"Zanomaline High Dose (81 mg)","AGEGR1",">80","frequency","n",0
"Zanomaline High Dose (81 mg)","AGEGR1",">80","frequency","pct",
"Placebo","AGEGR1","65-80","frequency","n",42
"Placebo","AGEGR1","65-80","frequency","pct",48.8372093023256
"Zanomaline Low Dose (54 mg)","AGEGR1","65-80","frequency","n",0
"Zanomaline Low Dose (54 mg)","AGEGR1","65-80","frequency","pct",
"Zanomaline High Dose (81 mg)","AGEGR1","65-80","frequency","n",0
"Zanomaline High Dose (81 mg)","AGEGR1","65-80","frequency","pct",
"Placebo","RACE","BLACK OR AFRICAN AMERICAN","frequency","n",8
"Placebo","RACE","BLACK OR AFRICAN AMERICAN","frequency","pct",9.30232558139535
"Zanomaline Low Dose (54 mg)","RACE","BLACK OR AFRICAN AMERICAN","frequency","n",0
"Zanomaline Low Dose (54 mg)","RACE","BLACK OR AFRICAN AMERICAN","frequency","pct",
"Zanomaline High Dose (81 mg)","RACE","BLACK OR AFRICAN AMERICAN","frequency","n",0
"Zanomaline High Dose (81 mg)","RACE","BLACK OR AFRICAN AMERICAN","frequency","pct",
"Placebo","RACE","WHITE","frequency","n",78
"Placebo","RACE","WHITE","frequency","pct",90.6976744186046
"Zanomaline Low Dose (54 mg)","RACE","WHITE","frequency","n",0
"Zanomaline Low Dose (54 mg)","RACE","WHITE","frequency","pct",
"Zanomaline High Dose (81 mg)","RACE","WHITE","frequency","n",0
"Zanomaline High Dose (81 mg)","RACE","WHITE","frequency","pct",
"Placebo","ETHNIC","HISPANIC OR LATINO","frequency","n",3
"Placebo","ETHNIC","HISPANIC OR LATINO","frequency","pct",3.48837209302326
"Zanomaline Low Dose (54 mg)","ETHNIC","HISPANIC OR LATINO","frequency","n",0
"Zanomaline Low Dose (54 mg)","ETHNIC","HISPANIC OR LATINO","frequency","pct",
"Zanomaline High Dose (81 mg)","ETHNIC","HISPANIC OR LATINO","frequency","n",0
"Zanomaline High Dose (81 mg)","ETHNIC","HISPANIC OR LATINO","frequency","pct",
"Placebo","ETHNIC","NOT HISPANIC OR LATINO","frequency","n",83
"Placebo","ETHNIC","NOT HISPANIC OR LATINO","frequency","pct",96.5116279069767
"Zanomaline Low Dose (54 mg)","ETHNIC","NOT HISPANIC OR LATINO","frequency","n",0
"Zanomaline Low Dose (54 mg)","ETHNIC","NOT HISPANIC OR LATINO","frequency","pct",
"Zanomaline High Dose (81 mg)","ETHNIC","NOT HISPANIC OR LATINO","frequency","n",0
"Zanomaline High Dose (81 mg)","ETHNIC","NOT HISPANIC OR LATINO","frequency","pct",
"Placebo","COUNTRY","USA","frequency","n",86
"Placebo","COUNTRY","USA","frequency","pct",100
"Zanomaline Low Dose (54 mg)","COUNTRY","USA","frequency","n",0
"Zanomaline Low Dose (54 mg)","COUNTRY","USA","frequency","pct",
"Zanomaline High Dose (81 mg)","COUNTRY","USA","frequency","n",0
"Zanomaline High Dose (81 mg)","COUNTRY","USA","frequency","pct",
